text
студент икнт стать участник митапа эр-телеком 27 апрель технопарк morion digital состояться ит-митапа рамка который эксперт компания [ club34602206|эр-телеком холдинг ] рассказать студент современный подход построение архитектура приложение развёртывание сервис внедрение devops-практика стажёрский программа компания эр-телеком — индустриальный партнёр икнт набирать студент стажировка разный профессия разработчик аналитик datа-инженер data scientist пр часть студент решить укрепить свой знание практика хороший ит-компания регион подать документ стажировка подать ссылка vk.cc/cwm9ki 
"первый кубок икнт минувший выходной 20 апрель пройти кубок икнт шахматы честь день рождение институт принять участие 36 студент место распределиться следующий образ 1 место – владислав ксенофонт 5 очко 2 место – василий гришков 4,5 очко 3 место – вадим сорокин 4,5 очко специальный женский приз – екатерина соснина 4 очко итоговый результат https //chess-results.com/tnr926498.aspx lan=11 & art=1 & rd=5 спорт @ psu_iknt "
сегодняшний день мочь увидеть табличка икнт корпус наш кампус угадать 
профессионал раскрывать карта суббота 20.04 самый день день рождение икнт 15:15 ждать конференц-зал первый корпус встреча наш самый интересный спикер специально 1 `` business intelligence '' дмитрий фёдоров head of business intelligence банк уралсиб 2 `` программировать беспилотник `` сергей владимирович автайкин директор институт компьютерный наука технология пгниу новость @ psu_iknt 
ура ура ура день рождение суббота 20 апрель институт компьютерный наука технология исполняться 2 год забыть поставить напоминание дата приходить отметить день рождение институт вместе одногруппник ждать интересный забыть поздравить икнт заполнить форма https //forms.gle/dtksmmevincmqpxs8 отправить поздравление 17:00 19 апрель это выбрать самый классный поздравление опубликовать день рождение увидеть свой поздравление – выиграть приз новость @ psu_iknt 
день открытый дверь пол минута суббота пройти день открытый дверь пгниу немой ребята смочь познакомиться интересовать факультет икнт провести абитуриент ▫️ тест профориентация ▫️интерактивный станция ▫️квиза ▫️митапа ▫️встретить директор новость @ psu_iknt 
день открытый дверь икнт пгниу школьный время прекрасно полно новый открытие впечатление ждать глава это многое друг рассказать 6 апрель приходить брать друг всё твой рука ждать ▫️6 апрель ▫️кампус пгниу следить информация группа подробный узнать день открытый дверь встреча 
дополнительный балл поступление уважаемый абитуриент родитель рада сообщить проведение олимпиада юный талант который предоставлять уникальный возможность молодой амбициозный программист продемонстрировать свой способность получить дополнительный балл поступление университет олимпиада представить 3 блок вопрос ▫️базовый курс ▪️измерение информация ▪️логик ▪️основный понятие ▫️программирование алгоритмика ▪️в заочный тур везде псевдокод вариант язык ▫️табличный редактор понимание база данные упустить свой шанс проявить олимпиада открыть дверь успешный будущий учиться икнт друг который собираться поступать — обязательно отправить пост новость @ psu_iknt 
дебют проверить неделя состояться первый спектакль новый коллектив оригинальный жанр [ club224637566| проверить ] число участник коллектив ребята икнт упускать возможность порадовать приходить ▫️29 февраль четверг ▫️19:00 ▫️большой зал сдк ▫️спектакль лавки‐скамейка забыть позвать друг творчество @ psu_iknt 
"игра разум продолжаться прийти время защитить честь первый урал выходной 2-3 декабрь сборная пгниу участвовать универсиада пермский край шахматы который принять участие 11 высокий учебный заведение регион наш команда больший отрыв занять 1 место набрать 26,5 очко 28 возможный состав команда войти руслан лисименко владимир гейн галина крапивина екатерина соснина анастасия швецов среди [ https //vk.com/id473452636|екатерин соснина ] – студентка наш институт прошлый соснина екатерина стать хороший шахматист свой доска вновь одержать победа каждый семь тур поздравлять команда блестящий победа особенно гордиться достижение студентка икнт "
новый победа 18 ноябрь пройти универсиада пгниу настольный теннис командный зачёт икнт мехмат занять 1 место личный зачёт обойтись победа ▫ [ id188010361|бушуев анна ] занять 1 место среди девушка ▫а среди мужчина сразу 2 призовой место — [ id422240767|васёвый арсений ] занять 1 место [ id156011583|сперанский никита ] 2 место команда икнт мехмат войти 5 человек [ id422240767|васёвый арсений ] [ id156011583|сперанский никита ] [ id188010361|бушуев анна ] [ id606609286|климов софия ] [ id188143347|гильмутдин даниэль ] поздравлять ребята желать ещё большой победа будущее спорт @ psu_iknt 
пройти выходной суббота 18 ноябрь пройти посвящение первокурсник икнт это вечером тёплый компания время пролететь незаметно увлекательно благодаря станция куратор профбюро икнт наш студент ещё приятный воспоминание забыть сохранить альбом новость @ psu_iknt 
дорога первокурсник икнт завтра пройти важный день жизнь студент посвящение это отличный повод провести незабываемый вечер компания одногруппник куратор мероприятие ▪интересный конкурс ▪письмо будущее ▪большой количество подарок индивидуальный приз приз весь группа ▪предсказание будущее ждать ▫18 ноябрь ▫17:00 ▫ сдк пгниу подробный информация уточнить свой куратор 
культура знание научпоп первый урал пермский университет появиться площадка открытый лекция рамка научпоп-проект культура знание учёный эксперт рассказывать достижение наука особенность высокий образование возможность школьник студент первый лекция пройти суббота ▫арсений живой системный аналитик тинькофф рассказать выйти универ настоящий профи ; ▫наталия клименков руководитель направление академия технология данные кибербезопасность сберуниверситет рассказать путь ит-образование институт востребовать специалист информационный безопасность организатор это мероприятие икнт поэтому очень ждать ▪21 октябрь ; ▪конференц-зал пгниу 1 корпус ул букирёв 15 ; ▪15:00 новость @ psu_iknt 
провести выходной воскресение 15 октябрь пермь также город россия состояться чемпионат алгоритмический программирование rucode отборочный онлайн-этап принять участие 50 студент пгниу 11 команда бороться победа очный финал воскресение близкий весь победа подойти команда pmeister участник который студент икнт совместный программа мфть — кирилл некрасов — алексей рухлядева — артём колупай ребята решить семь задача дивизион e/f занять второе место пермь 11 россия поздравлять наш студент желать останавливаться достигнутый чемпионат проводиться поддержка министерство информационный развитие связь пермский край сетевой ит-университет икнт пгниу новость @ psu_iknt 
программист пгниу — хороший 14 октябрь день рождение университет стартовать очередной сезон студенческий командный чемпионат мир программирование сразу команда пгниу успешно пройти квалификация завоевать право участвовать четвертьфинал чемпионат мир уральский региональный соревнование захватывать соревнование пройти екатеринбург 5 ноябрь 2023 год квалификация участвовать целый 327 команда всё команда наш университет финишировать верхний 20 % таблица ▫ команда четверокурсник мехмат богомягков екатерина корнилов валерий бендик вячеслав — решить 4 задача справиться последний 7 минута конец пятичасовой марафон ; ▫ сборная третьекурсник икнт мехмат глухов елисей дышлевский константин калайда даниил — справиться 7 задача 11 ; ▫ студент икнт арсений юрчат представитель мехмат дмитрий сидоренко никита понькин 9 решить задача стать хороший команда пермь подготовка команда заниматься выпускник пгниу михаил лизун представлять университет финальный соревнование студенческий командный чемпионат мир программирование нетерпение ждать четвертьфинал уверить наш команда продолжить радовать свой успех новость @ psu 
самый важный день жизнь университет сегодня [ https //vk.com/permuniversity|пермский государственный национальный исследовательский университет ] исполниться 107 год это особый день который отмечать достижение бесценный вклад образование будущее наш университет икнт присоединяться весь поздравление желать дальнейший бурный развитие процветание новый возможность великий исследование открытие спасибо продолжать ценный источник знание вдохновение новый интересный знакомство возможность раскрыть гордиться стать часть первый урал 
пополнение ряд профорг прошлый суббота ребята встретиться верёвка профорг познакомиться друг друг пройти запоминаться квест хороший узнать свой роль профбюро [ id365937326|ник зырянов ] [ id523213376|егор бондаренко ] [ id158030158|дмитрий новицкий ] [ id418036620|софья мельников ] [ id251087043|рената скосарев ] [ id171075507|ярослав сакулин ] [ id350328704|виталия александровский ] посетить первоначальный обучение профорг [ club7557592|профсоюзный организация студент пгниу ] желать успех начинание реализация новый идея развитие профбюро икнт 
